case_key,title,status,dataset,source_pose_archive,source_geometry_archive,source_scene,frame_count,output_path,unresolved_reason
world-125,Town square,直接找到,iv3/omniworld_game_packed,/threed-code/jiahaolu/GLD/results/lm-eval-sep/d64/step0013000/iv3/omniworld_game_packed/scannetpp/125_poses.npz,,/threed-code/public_datasets/Geometry_diffusion_data/omniworld_game_packed/train/6d8a47afa1ea_split20,81,world-125,
indoor-000,Blue sofa,直接找到,iv3/scannetpp_preprocessed,/threed-code/jiahaolu/GLD/results/lm-eval-sep/d64/step0013000/iv3/scannetpp_preprocessed/scannetpp/000_poses.npz,,/threed-code/public_datasets/Geometry_diffusion_data/scannetpp_preprocessed/154c3e10d9/clip_009,81,indoor-000,
indoor-001,Cozy bedroom,直接找到,iv3/scannetpp_preprocessed,/threed-code/jiahaolu/GLD/results/lm-eval-sep/d64/step0013000/iv3/scannetpp_preprocessed/scannetpp/001_poses.npz,,/threed-code/public_datasets/Geometry_diffusion_data/scannetpp_preprocessed/0a76e06478/clip_016,81,indoor-001,
indoor-003,Glass doorway,直接找到,iv3/scannetpp_preprocessed,/threed-code/jiahaolu/GLD/results/lm-eval-sep/d64/step0013000/iv3/scannetpp_preprocessed/scannetpp/003_poses.npz,,/threed-code/public_datasets/Geometry_diffusion_data/scannetpp_preprocessed/154c3e10d9/clip_027,81,indoor-003,
indoor-006,Workshop corner,直接找到,iv3/scannetpp_preprocessed,/threed-code/jiahaolu/GLD/results/lm-eval-sep/d64/step0013000/iv3/scannetpp_preprocessed/scannetpp/006_poses.npz,,/threed-code/public_datasets/Geometry_diffusion_data/scannetpp_preprocessed/0e75f3c4d9/clip_025,81,indoor-006,
indoor-014,Sunlit wall,直接找到,iv3/scannetpp_preprocessed,/threed-code/jiahaolu/GLD/results/lm-eval-sep/d64/step0013000/iv3/scannetpp_preprocessed/scannetpp/014_poses.npz,,/threed-code/public_datasets/Geometry_diffusion_data/scannetpp_preprocessed/0d2ee665be/clip_021,81,indoor-014,
indoor-018,Office chair,直接找到,iv3/scannetpp_preprocessed,/threed-code/jiahaolu/GLD/results/lm-eval-sep/d64/step0013000/iv3/scannetpp_preprocessed/scannetpp/018_poses.npz,,/threed-code/public_datasets/Geometry_diffusion_data/scannetpp_preprocessed/104acbf7d2/clip_027,81,indoor-018,
outdoor-019,City storefront,直接找到,mvssynth_packed,/threed-code/jiahaolu/GLD/results/lm-eval-sep/d64/step0013000/mvssynth_packed/scannetpp/019_poses.npz,,/threed-code/public_datasets/Geometry_diffusion_data/mvssynth_packed/0076,81,outdoor-019,
outdoor-033,Urban avenue,直接找到,mvssynth_packed,/threed-code/jiahaolu/GLD/results/lm-eval-sep/d64/step0013000/mvssynth_packed/scannetpp/033_poses.npz,,/threed-code/public_datasets/Geometry_diffusion_data/mvssynth_packed/0050,81,outdoor-033,
outdoor-035,Church steps,直接找到,mvssynth_packed,/threed-code/jiahaolu/GLD/results/lm-eval-sep/d64/step0013000/mvssynth_packed/scannetpp/035_poses.npz,,/threed-code/public_datasets/Geometry_diffusion_data/mvssynth_packed/0093,81,outdoor-035,
outdoor-037,Palm-lined street,直接找到,mvssynth_packed,/threed-code/jiahaolu/GLD/results/lm-eval-sep/d64/step0013000/mvssynth_packed/scannetpp/037_poses.npz,,/threed-code/public_datasets/Geometry_diffusion_data/mvssynth_packed/0052,81,outdoor-037,
lm-lingbo-world2,Village gate,从原始数据恢复导出,large-motion-v1-page-eval,/threed-code/minghaoyin/GLD/results/large-motion-v1-page-eval/0002000/20260904_224943/eval/shard_2/case_000/scannetpp/000_poses.npz,/threed-code/minghaoyin/GLD/results/large-motion-v1-page-eval/0002000/20260904_224943/eval/shard_2/case_000/scannetpp/000_geom.npz,/threed-code/public_datasets/Geometry_diffusion_data/large_motion_v1_packed/lingbot_mp4__lingbo_world2/chunk_000,81,lm-lingbo-world2,
lm-lingbo-forward,Temple approach,从原始数据恢复导出,large-motion-v1-page-eval,/threed-code/minghaoyin/GLD/results/large-motion-v1-page-eval/0002000/lingbo_designed3_20260905_1812/eval/shard_0/case_000/scannetpp/000_poses.npz,/threed-code/minghaoyin/GLD/results/large-motion-v1-page-eval/0002000/lingbo_designed3_20260905_1812/eval/shard_0/case_000/scannetpp/000_geom.npz,,81,lm-lingbo-forward,
